-10.00 52.67
-9.90 51.26
-9.80 50.68
-9.70 50.69
-9.60 51.09
-9.50 50.81
-9.40 50.74
-9.30 50.45
-9.20 50.94
-9.10 50.94
-9.00 51.73
-8.90 51.79
-8.80 52.52
-8.70 53.11
-8.60 53.05
-8.50 54.12
-8.40 53.70
-8.30 53.31
-8.20 52.88
-8.10 52.41
-8.00 52.13
-7.90 52.04
-7.80 50.84
-7.70 51.79
-7.60 51.50
-7.50 50.42
-7.40 50.78
-7.30 50.58
-7.20 50.22
-7.10 51.73
-7.00 51.33
-6.90 51.87
-6.80 51.25
-6.70 51.60
-6.60 51.73
-6.50 51.90
-6.40 52.65
-6.30 51.58
-6.20 51.48
-6.10 51.57
-6.00 50.78
-5.90 50.53
-5.80 50.47
-5.70 49.74
-5.60 49.69
-5.50 49.47
-5.40 50.17
-5.30 50.68
-5.20 50.24
-5.10 51.60
-5.00 50.94
-4.90 52.41
-4.80 52.96
-4.70 52.98
-4.60 53.08
-4.50 53.30
-4.40 53.08
-4.30 52.94
-4.20 52.99
-4.10 52.59
-4.00 51.82
-3.90 51.89
-3.80 51.25
-3.70 51.57
-3.60 53.30
-3.50 54.94
-3.40 57.38
-3.30 59.98
-3.20 62.04
-3.10 65.96
-3.00 68.66
-2.90 71.27
-2.80 73.74
-2.70 75.32
-2.60 75.19
-2.50 74.26
-2.40 73.34
-2.30 70.00
-2.20 67.78
-2.10 64.90
-2.00 62.64
-1.90 61.24
-1.80 61.66
-1.70 63.22
-1.60 66.08
-1.50 71.30
-1.40 77.64
-1.30 85.11
-1.20 93.61
-1.10 100.84
-1.00 107.64
-0.90 113.49
-0.80 116.37
-0.70 116.17
-0.60 114.28
-0.50 109.78
-0.40 103.08
-0.30 94.56
-0.20 87.17
-0.10 79.81
0.00 74.80
0.10 71.84
0.20 71.10
0.30 74.47
0.40 80.26
0.50 88.02
0.60 99.33
0.70 110.02
0.80 120.67
0.90 129.73
1.00 135.80
1.10 140.12
1.20 140.33
1.30 136.21
1.40 129.97
1.50 120.93
1.60 111.07
1.70 100.37
1.80 90.67
1.90 80.95
2.00 75.34
2.10 71.84
2.20 71.53
2.30 74.31
2.40 78.91
2.50 86.58
2.60 94.39
2.70 102.09
2.80 108.93
2.90 114.76
3.00 116.78
3.10 116.52
3.20 114.21
3.30 109.69
3.40 102.11
3.50 93.44
3.60 85.15
3.70 76.38
3.80 69.43
3.90 64.22
4.00 60.12
4.10 59.10
4.20 58.96
4.30 60.18
4.40 62.48
4.50 65.82
4.60 68.88
4.70 71.01
4.80 72.94
4.90 74.53
5.00 74.11
5.10 73.06
5.20 70.56
5.30 67.52
5.40 64.42
5.50 61.51
5.60 57.63
5.70 54.85
5.80 52.15
5.90 50.15
6.00 49.01
6.10 48.38
6.20 48.45
6.30 48.41
6.40 48.94
6.50 49.38
6.60 49.68
6.70 50.47
6.80 50.83
6.90 50.26
7.00 49.97
7.10 49.61
7.20 48.86
7.30 48.29
7.40 47.96
7.50 46.84
7.60 46.36
7.70 45.41
7.80 45.83
7.90 45.41
8.00 45.33
8.10 45.02
8.20 45.47
8.30 45.31
8.40 45.72
8.50 45.66
8.60 46.23
8.70 46.53
8.80 46.64
8.90 46.60
9.00 46.73
9.10 46.68
9.20 45.91
9.30 45.77
9.40 45.45
9.50 45.16
9.60 44.84
9.70 44.71
9.80 44.83
9.90 44.62
10.00 45.12
